UserId,AttractionId,Rating,VisitMode,AttractionTypeId_x,CityId,CountryId,RegionId,ContinentId,season,month,year,user_total_visits,user_avg_rating,attraction_popularity,date
23868,640,5,4,63,545.0,48,8,2,spring,3,2020,1,5.0,13198,2020-03-01
13954,640,3,3,63,1282.0,51,8,2,summer,8,2019,3,3.0,13198,2019-08-01
55381,640,2,4,63,743.0,163,21,5,summer,6,2019,1,2.0,13198,2019-06-01
71073,640,5,2,63,8317.0,163,21,5,spring,3,2020,1,5.0,13198,2020-03-01
113,640,4,2,63,6000.0,125,17,5,spring,3,2020,1,4.0,13198,2020-03-01
16816,640,5,2,63,8215.0,163,21,5,spring,3,2020,1,5.0,13198,2020-03-01
41624,640,5,2,63,1474.0,51,8,2,spring,3,2020,1,5.0,13198,2020-03-01
33038,640,5,3,63,3979.0,109,15,4,spring,3,2020,3,4.333333333333333,13198,2020-03-01
46031,640,4,5,63,441.0,48,8,2,winter,2,2020,2,3.5,13198,2020-02-01
81844,640,5,2,63,1674.0,51,8,2,spring,3,2020,1,5.0,13198,2020-03-01
64368,640,5,3,63,2625.0,89,12,3,winter,2,2020,1,5.0,13198,2020-02-01
51849,640,5,4,63,8837.0,163,21,5,spring,3,2020,2,5.0,13198,2020-03-01
53252,640,5,4,63,1552.0,51,8,2,spring,4,2019,2,5.0,13198,2019-04-01
29563,640,5,3,63,5572.0,115,16,4,spring,3,2020,1,5.0,13198,2020-03-01
66839,640,4,3,63,7536.0,159,21,5,winter,2,2020,1,4.0,13198,2020-02-01
42947,640,5,2,63,8402.0,163,21,5,winter,1,2020,2,4.0,13198,2020-01-01
77269,640,4,2,63,8136.0,163,21,5,spring,3,2020,2,3.5,13198,2020-03-01
4371,640,5,2,63,1434.0,109,15,4,spring,3,2020,4,4.5,13198,2020-03-01
25561,640,5,2,63,3013.0,101,14,3,summer,6,2019,1,5.0,13198,2019-06-01
16514,640,3,2,63,6677.0,145,19,5,spring,3,2020,1,3.0,13198,2020-03-01
52730,640,5,2,63,6972.0,153,20,5,spring,3,2020,1,5.0,13198,2020-03-01
21256,640,5,2,63,5488.0,115,16,4,spring,3,2020,1,5.0,13198,2020-03-01
45191,640,5,2,63,8221.0,163,21,5,spring,3,2020,2,4.5,13198,2020-03-01
81154,640,4,2,63,333.0,48,8,2,spring,3,2020,4,4.0,13198,2020-03-01
57365,640,4,2,63,576.0,48,8,2,spring,3,2020,1,4.0,13198,2020-03-01
85847,640,4,3,63,3285.0,101,14,3,spring,3,2020,10,4.1,13198,2020-03-01
59810,640,4,4,63,2282.0,70,11,3,spring,3,2020,1,4.0,13198,2020-03-01
16482,640,5,4,63,1972.0,51,8,2,winter,1,2020,1,5.0,13198,2020-01-01
45653,640,5,2,63,5671.0,115,16,4,winter,2,2020,1,5.0,13198,2020-02-01
70967,640,5,5,63,3285.0,101,14,3,spring,3,2020,9,4.666666666666667,13198,2020-03-01
63138,640,4,4,63,765.0,51,8,2,winter,2,2020,14,4.071428571428571,13198,2020-02-01
17811,640,5,5,63,3667.0,108,14,3,winter,2,2020,1,5.0,13198,2020-02-01
10370,640,4,5,63,2564.0,86,12,3,winter,2,2020,1,4.0,13198,2020-02-01
28567,640,5,2,63,743.0,163,21,5,winter,2,2020,2,5.0,13198,2020-02-01
43435,640,4,5,63,935.0,109,15,4,winter,2,2020,1,4.0,13198,2020-02-01
25621,640,5,4,63,4335.0,109,15,4,winter,2,2020,1,5.0,13198,2020-02-01
24948,640,5,2,63,1327.0,51,8,2,winter,2,2020,1,5.0,13198,2020-02-01
14459,640,5,4,63,6651.0,145,19,5,winter,2,2020,1,5.0,13198,2020-02-01
57716,640,3,4,63,535.0,109,15,4,winter,2,2020,2,3.0,13198,2020-02-01
77961,640,5,2,63,1459.0,163,21,5,winter,2,2020,1,5.0,13198,2020-02-01
32533,640,5,3,63,2225.0,55,9,2,winter,2,2020,2,5.0,13198,2020-02-01
8481,640,5,2,63,4571.0,109,15,4,winter,2,2020,1,5.0,13198,2020-02-01
53690,640,5,3,63,337.0,115,16,4,spring,4,2019,3,3.6666666666666665,13198,2019-04-01
51055,640,4,2,63,4011.0,160,21,5,winter,2,2020,1,4.0,13198,2020-02-01
62791,640,3,2,63,1396.0,163,21,5,winter,2,2020,6,3.8333333333333335,13198,2020-02-01
23746,640,5,2,63,1633.0,163,21,5,winter,2,2020,2,5.0,13198,2020-02-01
46065,640,4,2,63,2209.0,54,9,2,winter,2,2020,1,4.0,13198,2020-02-01
